Product History,,Product,AWP01,Store,374,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Transaction Date,Transaction Type,Reference Number,Customer Vendor #,Customer/Vendor Name,Receiving PO Number,Inventory Quantity,Non-Inventory Quantity,Price,Cost,Inventory Balance,Transaction Date,Transaction Type,Reference Number,Created By,Created Date,Created Time,Last Changed By,Last Changed Date,Last Changed Time
11/03/22,RECV,3760033487,9999021,*** STORE TRANSFERS ***,0,0,10,0,50,0,11/03/22,RECV,3760033487,U651RLW   ,11/02/22,13:44:55,U651RLW   ,11/02/22,13:44:55
10/13/22,RECV,3760032435,9999021,*** STORE TRANSFERS ***,0,0,6,0,50,0,10/13/22,RECV,3760032435,U651RLW   ,10/12/22,11:06:56,U651RLW   ,10/12/22,11:06:56
09/21/22,INVC,3740009047,2858677,NORTH VERNON BEVERAGE,,0,3,75,50,0,09/21/22,INVC,3740009047,QUSER     ,09/08/22,22:13:26,QUSER     ,09/08/22,22:13:26
09/15/22,RECV,3760030843,9999021,*** STORE TRANSFERS ***,0,0,6,0,50,0,09/15/22,RECV,3760030843,U651KAW   ,09/12/22,10:46:33,U651KAW   ,09/12/22,10:46:33
09/15/22,RECV,3760030676,9999021,*** STORE TRANSFERS ***,0,0,3,0,50,0,09/15/22,RECV,3760030676,U651RLW   ,09/09/22,06:13:37,U651RLW   ,09/09/22,06:13:37
09/08/22,RECV,3760030309,9999021,*** STORE TRANSFERS ***,0,0,6,0,50,0,09/08/22,RECV,3760030309,U651RLW   ,09/02/22,06:18:40,U651RLW   ,09/02/22,06:18:40
09/08/22,RECV,3760030308,9999021,*** STORE TRANSFERS ***,0,0,6,0,50,0,09/08/22,RECV,3760030308,U651RLW   ,09/02/22,06:17:20,U651RLW   ,09/02/22,06:17:20
07/27/22,RECV,3760028334,9999021,*** STORE TRANSFERS ***,0,0,6,0,50,0,07/27/22,RECV,3760028334,U651RLW   ,07/27/22,06:11:35,U651RLW   ,07/27/22,06:11:35
07/07/22,RECV,3760027074,9999021,*** STORE TRANSFERS ***,0,0,6,0,50,0,07/07/22,RECV,3760027074,U651RLW   ,06/30/22,10:19:35,U651RLW   ,06/30/22,10:19:35
06/10/22,RECV,3760025300,9999021,*** STORE TRANSFERS ***,0,0,6,0,50,0,06/10/22,RECV,3760025300,U651RLW   ,05/25/22,07:08:09,U651RLW   ,05/25/22,07:08:09
05/26/22,INVC,3740007020,2859807,"R W TRANSPORT, INC",,0,1,75,50,0,05/26/22,INVC,3740007020,U651RKH   ,05/26/22,13:43:42,U651RKH   ,05/26/22,13:43:42
05/25/22,RECV,3760025299,9999021,*** STORE TRANSFERS ***,0,0,1,0,50,0,05/25/22,RECV,3760025299,U651RLW   ,05/25/22,07:01:58,U651RLW   ,05/25/22,07:01:58
05/12/22,INVC,3740006661,2859807,"R W TRANSPORT, INC",,0,4,75,50,0,05/12/22,INVC,3740006661,U651RKH   ,05/12/22,09:36:36,U651RKH   ,05/12/22,09:36:36
05/12/22,RECV,3760024516,9999021,*** STORE TRANSFERS ***,0,0,4,0,50,0,05/12/22,RECV,3760024516,U651TAH   ,05/11/22,13:57:09,U651TAH   ,05/11/22,13:57:09
05/12/22,RECV,3760024195,9999021,*** STORE TRANSFERS ***,0,0,4,0,50,0,05/12/22,RECV,3760024195,U651TAH   ,05/05/22,07:04:55,U651TAH   ,05/05/22,07:04:55
04/30/22,INVC,3740006022,2850030,NEW WAY TRANSPORTATION,,0,2,65,50,0,04/30/22,INVC,3740006022,U651JTH   ,04/28/22,12:18:05,U651MSL   ,04/29/22,16:00:16
04/20/22,INVC,3740006269,2858254,FOX FARMS,,0,4,75,50,0,04/20/22,INVC,3740006269,U651MSL   ,04/20/22,15:34:43,U651MSL   ,04/20/22,15:34:43
04/20/22,RECV,3760023405,9999021,*** STORE TRANSFERS ***,0,0,6,0,50,0,04/20/22,RECV,3760023405,U651RLW   ,04/20/22,07:16:10,U651RLW   ,04/20/22,07:16:10
04/13/22,INVC,3740006126,2856553,UHL IDEALEASE - AUSTIN,,0,6,75,50,0,04/13/22,INVC,3740006126,U651MSL   ,04/12/22,10:00:26,U651RCC   ,04/13/22,15:26:32
04/13/22,RECV,3760022890,9999021,*** STORE TRANSFERS ***,0,0,6,0,50,0,04/13/22,RECV,3760022890,U651TAH   ,04/11/22,07:34:48,U651TAH   ,04/11/22,07:34:48
04/07/22,INVC,3740006054,2858898,SCHROER TRUCKING,,0,4,65,50,0,04/07/22,INVC,3740006054,U651JTH   ,04/07/22,15:05:35,U651JTH   ,04/07/22,15:06:44
04/06/22,RECV,3760022735,9999021,*** STORE TRANSFERS ***,0,0,4,0,50,0,04/06/22,RECV,3760022735,U651RLW   ,04/06/22,07:11:02,U651RLW   ,04/06/22,07:11:02
03/30/22,RECV,3760022395,9999021,*** STORE TRANSFERS ***,0,0,6,0,50,0,03/30/22,RECV,3760022395,U651KAW   ,03/30/22,07:18:52,U651KAW   ,03/30/22,07:18:52
03/29/22,INVC,3740005855,2856553,UHL IDEALEASE - AUSTIN,,0,6,75,50,0,03/29/22,INVC,3740005855,U651MSL   ,03/29/22,05:47:47,U651MSL   ,03/29/22,05:47:47
03/29/22,RECV,3760021773,9999021,*** STORE TRANSFERS ***,0,0,4,0,50,0,03/29/22,RECV,3760021773,U651RLW   ,03/16/22,13:03:12,U651RLW   ,03/16/22,13:03:12
03/25/22,RECV,3760022229,9999021,*** STORE TRANSFERS ***,0,0,6,0,50,0,03/25/22,RECV,3760022229,U651RLW   ,03/25/22,09:17:10,U651RLW   ,03/25/22,09:17:10
03/18/22,INVC,3740005664,2856553,UHL IDEALEASE - AUSTIN,,0,4,150,50,0,03/18/22,INVC,3740005664,U651MSL   ,03/17/22,13:30:53,U651MSL   ,03/17/22,13:30:53
02/25/22,INVC,3740005319,2857437,PADGETT TRUCKING INC/OMARA,,0,8,75,50,0,02/25/22,INVC,3740005319,U651MSL   ,02/23/22,11:24:17,U651RKH   ,02/25/22,12:13:08
02/23/22,VINV,3740005317,2858686,VOID,,0,8,0,50,0,02/23/22,VINV,3740005317,U651MSL   ,02/23/22,11:16:51,U651MSL   ,02/23/22,11:17:01
02/16/22,RECV,3760020332,9999021,*** STORE TRANSFERS ***,0,0,8,0,50,0,02/16/22,RECV,3760020332,U651RLW   ,02/15/22,08:46:27,U651RLW   ,02/15/22,08:46:27
01/14/22,RECV,3760019086,9999021,*** STORE TRANSFERS ***,0,0,6,0,50,0,01/14/22,RECV,3760019086,U651RKH   ,01/14/22,07:21:04,U651RKH   ,01/14/22,07:21:04
09/23/21,INVC,3740003035,2858622,MIDNIGHT FLYER & CO. INC.,,0,1,75,50,0,09/23/21,INVC,3740003035,U651RKH   ,09/23/21,09:44:12,U651RKH   ,09/23/21,09:44:12
09/23/21,RECV,3760013920,9999021,*** STORE TRANSFERS ***,0,0,1,0,50,0,09/23/21,RECV,3760013920,U651RLW   ,09/23/21,06:35:30,U651RLW   ,09/23/21,06:35:30
08/20/21,INVC,3740002508,2858622,MIDNIGHT FLYER & CO. INC.,,0,4,75,50,0,08/20/21,INVC,3740002508,U651RKH   ,08/20/21,10:11:14,U651RKH   ,08/20/21,10:11:14
08/19/21,RECV,3760012183,9999021,*** STORE TRANSFERS ***,0,0,4,0,50,0,08/19/21,RECV,3760012183,U651RLW   ,08/19/21,06:20:41,U651RLW   ,08/19/21,06:20:41
,,,,,,,,,,,,,,,,,,,
,,,,Beginning Balance,0,,,,,,,,,,,,,,
,,,,Net Activity,0,,,,,,,,,,,,,,
,,,,Ending Balance,0,,,,,,,,,,,,,,
