Customer,counts
ALTEC INDUSTRIES,26
SCOTTY'S CONTRACTING & ST,24
KEY OIL CO,15
FREEDOM METALS OF E-TOWN,7
GLOBAL RENTAL CO.INC,7
HANSON QUARRY-UPTON,6
HUFFMAN TRUCKING LLC,6
MINKIT TRUCKING LLC,6
GSA/GENERAL SERVICES ADM.,5
MINK TURF FARM,5
MOUSER CUSTOM CABINETRY L,5
BORDERS RECYCLING & DISPO,5
HARNED RANCH,4
NUCOR STEEL BRANDENBURG,4
RIVER METALS/LOU TKG/SR,4
BEST-ONE BOWLING GREEN,4
RIVER METALS REC LLC,4
WOODLAND VALLEY FARMS,4
MEADE COUNTY FISCAL CT,4
EDLIN BROS INC,3
BRANDENBURG TELEPHONE COM,3
"DAWKINS ON-SITE, LLC",3
BOYD CAT SUPPLY/ E-TOWN,3
UD CONTRACTING INC,3
KENAN ADVANTAGE GRP ETOWN,3
AIRGAS/WARNER FLEET NAT.,3
"IRVINGTON GAS COMPANY, IN",3
JOLLY FARMS,3
KAPLAN TRUCKING,3
MARION L ENLOW,3
FARMING TRANSPORT LLC,2
SHAUN BOWEN FARM,2
SERCO MANAGEMENT SERVICES,2
MAXIM CRANE WORKS / LVLLE,2
R & K CONTRACTING,2
"LAYNE BROS,INC",2
COMCAST/ARI,2
RICHARD ROE,2
IMI/IRVING MTRLS ETOWN,2
H.F. MCCLURE MAINTENANCE,2
HODGES INC,2
CONNIFF TRUCKING,2
ROYCE CAMPBELL & SONS,2
UHL,2
CITY OF ELIZABETHTOWN/ PU,2
ASHLOCK TRK,2
CASH,2
TWC TRUCKING,2
C & C PORTABLE,2
VIP LOG,1
OHANA TRUCKING,1
WADDELL'S AUTO & SCRAP,1
ON WHEELZ,1
ORKISON,1
OTIS BRYANT,1
OWENSBORO WHSE & LEASING,1
PANAM TRUCKING,1
"PADGETT, INC.",1
PADUCAH & LOUISVILLE RAIL,1
PATEL BLLC,1
PENSKE TRUCK/ P0551,1
PEPPER MAIL,1
VIOLETTE TRK,1
PHILLIPS TREE SERVICE,1
VERMEER SALES AND SERVICE,1
NUTRIEN AG E-TOWN,1
WALTER PAYTON POWER EQUIP,1
NUNN FARM,1
UNITED UTILITY SUPPLY,1
WORNER FARM,1
WOOSLEY PAINTING,1
"WILLS TRANSPORT, LLC",1
MISTER P EXPRESS INC.,1
MISUNDERSTOOD BREED,1
MITCHELL HAYCRAFT,1
"MODERN WELDING CO.OF KY.,",1
WILLIE ANDERSON,1
WESLEY,1
MUZON,1
NEW BERN TRANSPORT CORP,1
NIC HAYCRAFT TRK.,1
WAYNE BURNS,1
NIC TRANSPORT LLC,1
